aX,aY,aZ,gX,gY,gZ
-0.198,0.963,2.604,107.849,28.748,-54.199
-0.325,0.910,2.538,73.669,26.428,-45.898
-0.423,0.965,2.349,39.124,39.063,-43.884
-0.480,1.030,2.107,7.141,47.852,-45.532
-0.493,1.072,1.901,-14.404,51.270,-45.654
-0.496,1.105,1.771,-22.766,52.124,-42.542
-0.471,1.081,1.689,-22.461,47.180,-36.865
-0.438,1.043,1.652,-19.104,38.940,-28.320
-0.447,0.984,1.618,-17.090,24.719,-18.005
-0.423,0.899,1.585,-16.113,12.146,-8.789
-0.465,0.813,1.524,-17.639,-0.793,0.122
-0.481,0.709,1.471,-17.700,-8.667,7.263
-0.498,0.635,1.416,-17.517,-14.343,12.268
-0.480,0.536,1.389,-17.517,-20.142,17.883
-0.500,0.437,1.373,-15.808,-21.240,26.306
-0.562,0.338,1.358,-15.320,-21.667,36.438
-0.635,0.222,1.365,-14.526,-22.522,43.640
-0.731,0.125,1.409,-12.085,-21.362,48.340
-0.833,0.020,1.479,-11.597,-18.311,50.842
-0.961,-0.098,1.583,-15.076,-13.306,50.354
-1.106,-0.217,1.734,-20.935,-6.592,47.607
-1.244,-0.303,1.864,-24.902,-3.723,41.443
-1.349,-0.352,1.998,-24.414,-9.766,30.945
-1.480,-0.422,2.176,-19.165,-25.818,20.874
-1.661,-0.530,2.396,-9.460,-45.898,11.108
-1.814,-0.631,2.601,-2.686,-66.772,-4.028
-1.837,-0.734,2.755,-6.470,-85.022,-29.480
-1.708,-0.794,2.764,-30.945,-99.548,-62.134
-1.454,-0.735,2.607,-75.195,-106.384,-97.656
-1.165,-0.692,2.262,-125.916,-104.736,-126.953
-0.895,-0.641,1.885,-173.828,-97.534,-148.499
-0.658,-0.577,1.523,-210.205,-89.661,-162.354
-0.432,-0.502,1.221,-227.356,-91.919,-168.884
-0.257,-0.362,0.954,-223.877,-113.098,-168.274
-0.126,-0.288,0.698,-203.430,-149.414,-162.231
-0.040,-0.220,0.481,-179.260,-190.430,-156.494
0.027,-0.169,0.258,-158.447,-219.727,-153.076
0.060,-0.129,0.044,-144.165,-229.553,-153.442
0.066,-0.101,-0.141,-136.047,-219.299,-156.799
0.076,-0.067,-0.298,-131.531,-195.801,-163.635
0.144,-0.023,-0.419,-126.587,-162.109,-174.744
0.228,0.049,-0.506,-119.751,-121.643,-187.134
0.403,0.192,-0.556,-113.098,-81.787,-195.496
0.694,0.382,-0.564,-98.572,-53.711,-197.266
1.016,0.595,-0.505,-75.867,-41.260,-187.683
1.306,0.799,-0.379,-52.917,-44.617,-166.321
1.455,0.929,-0.227,-33.020,-63.171,-136.841
1.447,0.999,-0.105,-16.724,-91.797,-102.295
1.332,1.009,-0.050,-6.531,-116.516,-67.444
1.180,0.985,-0.023,-2.563,-126.648,-39.429
1.021,0.960,-0.014,-2.625,-120.361,-21.851
0.900,0.955,-0.007,-6.714,-100.586,-13.123
0.809,0.961,0.004,-14.038,-70.984,-10.193
0.761,0.982,0.008,-22.339,-37.537,-8.118
0.728,1.018,0.029,-29.114,-9.094,-4.333
0.663,1.032,0.068,-31.982,10.071,4.761
0.559,1.014,0.110,-32.715,22.156,18.250
0.414,0.970,0.137,-32.410,28.687,32.410
0.248,0.916,0.134,-30.640,29.846,44.922
0.086,0.859,0.123,-27.100,27.832,53.467
-0.065,0.803,0.118,-21.973,25.635,57.495
-0.176,0.765,0.128,-16.663,25.696,57.922
-0.215,0.748,0.140,-13.611,27.893,54.871
-0.214,0.757,0.165,-12.390,31.494,50.781
-0.177,0.770,0.192,-12.207,33.813,48.035
-0.140,0.816,0.236,-10.254,34.302,46.753
-0.130,0.868,0.293,-4.211,33.997,48.889
-0.132,0.891,0.362,4.944,32.776,54.565
-0.141,0.891,0.437,13.977,28.076,62.073
-0.160,0.885,0.503,19.531,21.240,69.824
-0.181,0.870,0.550,20.752,15.991,76.599
-0.213,0.864,0.572,18.250,14.343,81.421
-0.252,0.859,0.575,12.512,16.418,85.266
-0.299,0.848,0.554,4.822,21.118,88.074
-0.334,0.839,0.508,-2.930,27.588,89.111
-0.339,0.836,0.456,-9.644,35.339,88.684
-0.333,0.836,0.413,-14.526,43.945,87.769
-0.323,0.838,0.382,-17.578,52.734,88.501
-0.337,0.836,0.369,-17.700,59.937,91.858
-0.378,0.801,0.383,-13.672,62.988,97.961
-0.422,0.767,0.398,-8.057,60.974,103.821
-0.465,0.744,0.425,-2.380,55.237,108.337
-0.494,0.700,0.425,3.052,50.720,112.122
-0.513,0.688,0.481,5.981,47.119,114.014
-0.566,0.650,0.485,2.869,41.626,116.882
-0.568,0.589,0.482,-0.183,53.345,116.821
-0.628,0.582,0.471,-10.010,63.660,116.455
-0.672,0.548,0.460,-23.621,67.017,117.615
-0.709,0.501,0.427,-31.799,72.998,118.042
-0.736,0.479,0.401,-33.752,83.191,117.310
-0.748,0.468,0.394,-32.349,91.736,115.845
-0.741,0.450,0.438,-27.283,95.581,113.525
-0.767,0.456,0.495,-19.714,92.102,112.122
-0.804,0.436,0.534,-12.756,84.900,112.915
-0.825,0.392,0.572,-5.859,80.994,113.525
-0.852,0.371,0.626,-1.648,76.111,113.281
-0.876,0.346,0.699,-0.793,68.481,113.831
-0.909,0.301,0.755,-3.174,62.256,114.990
-0.937,0.251,0.797,-7.812,59.875,115.417
-0.968,0.210,0.830,-14.160,59.509,113.770
-0.989,0.177,0.837,-21.667,58.105,109.802
-0.992,0.159,0.814,-28.809,55.786,104.065
-0.985,0.150,0.777,-32.654,53.772,97.534
-0.982,0.149,0.735,-34.058,51.819,91.309
-0.975,0.148,0.695,-34.119,50.049,85.876
-0.959,0.148,0.664,-32.959,48.767,81.116
-0.943,0.151,0.650,-30.945,47.424,76.660
-0.915,0.156,0.645,-28.992,44.739,71.899
-0.856,0.176,0.636,-25.574,40.344,66.101
-0.801,0.208,0.626,-21.545,33.630,59.814
-0.743,0.241,0.608,-18.311,25.757,54.749
-0.684,0.277,0.577,-15.991,17.639,51.941
-0.632,0.299,0.550,-13.306,9.888,51.086
-0.593,0.300,0.539,-10.010,4.028,51.697
-0.584,0.292,0.533,-7.385,2.075,53.711
0.061,0.952,1.854,127.014,75.562,-96.619
0.010,1.064,1.983,117.249,68.665,-84.961
-0.076,1.155,2.069,104.065,61.523,-72.693
-0.127,1.205,2.134,89.905,53.589,-62.744
-0.175,1.239,2.152,74.585,45.959,-54.138
-0.234,1.247,2.122,57.495,40.710,-44.983
-0.295,1.216,2.061,40.955,36.926,-35.034
