aX,aY,aZ,gX,gY,gZ
-0.287,0.366,0.923,6.653,7.446,4.578
-0.280,0.362,0.922,3.906,6.775,5.066
-0.265,0.365,0.918,0.916,5.310,6.104
-0.816,0.652,1.398,8.606,50.232,-35.400
-0.944,0.650,1.657,10.376,68.054,-44.861
-1.056,0.679,1.938,2.319,75.623,-63.354
-1.122,0.710,2.150,-17.578,76.904,-91.858
-1.154,0.702,2.369,-40.955,83.069,-121.460
-1.167,0.689,2.471,-60.852,101.074,-142.151
-1.230,0.698,2.422,-71.899,130.615,-146.057
-1.316,0.727,2.438,-60.852,168.274,-137.146
-1.178,0.761,2.526,-32.654,212.158,-119.751
-1.067,0.543,2.468,-9.521,255.127,-97.961
-0.919,0.302,2.324,-10.986,288.269,-90.759
-0.728,0.111,2.126,-45.105,300.781,-97.900
-0.597,0.074,1.822,-101.807,295.349,-114.197
-0.614,0.205,1.556,-154.297,278.259,-129.639
-0.640,0.321,1.363,-179.443,263.000,-139.832
-0.672,0.382,1.139,-180.786,266.602,-147.644
-0.735,0.278,0.997,-168.274,284.851,-150.574
-0.527,0.266,0.965,-154.663,309.509,-147.644
-0.551,0.215,0.784,-152.710,332.214,-132.507
-0.613,0.271,0.634,-151.489,344.299,-119.812
-0.623,0.175,0.555,-145.142,351.685,-113.098
-0.525,0.008,0.428,-147.400,361.694,-111.206
-0.482,-0.094,0.298,-165.894,357.117,-113.708
-0.387,-0.261,0.248,-197.388,338.562,-121.948
-0.246,-0.364,0.126,-241.333,315.430,-134.216
-0.282,-0.248,-0.067,-289.246,287.659,-144.348
-0.357,-0.076,-0.230,-316.467,259.766,-159.973
-0.357,0.051,-0.319,-308.899,246.216,-173.218
-0.490,0.163,-0.372,-277.222,247.620,-180.237
-0.410,0.444,-0.479,-221.436,262.878,-186.035
-0.433,0.190,-0.496,-152.039,295.410,-170.776
-0.275,-0.266,-0.756,-99.609,327.881,-157.166
-0.013,-0.829,-1.202,-83.984,337.158,-157.288
0.267,-1.505,-1.705,-104.553,320.984,-169.739
0.807,-2.048,-2.402,-143.494,283.386,-180.786
1.206,-2.429,-3.217,-172.302,239.624,-166.443
1.700,-2.616,-3.751,-157.043,207.458,-121.521
