aX,aY,aZ,gX,gY,gZ
0.453,1.483,0.210,-14.343,-35.156,46.204
0.020,1.029,0.285,-36.072,-33.813,65.613
-0.381,0.687,0.320,-42.725,-42.419,73.364
-0.670,0.406,0.427,-32.043,-33.386,78.552
-0.921,0.204,0.608,-17.761,-22.217,79.102
-1.060,0.097,0.755,-13.916,-21.790,73.730
-1.071,0.008,0.853,-22.278,-21.851,66.162
-1.033,-0.042,0.901,-33.875,-15.259,58.838
-1.008,-0.052,0.878,-45.227,-6.653,50.476
-0.985,0.111,0.807,-55.481,4.211,38.818
-0.970,0.141,0.785,-63.354,15.076,33.936
-0.914,0.206,0.688,-69.214,19.653,28.503
-0.821,0.271,0.644,-67.688,30.029,26.184
-0.768,0.365,0.600,-63.416,30.334,23.499
-0.752,0.396,0.567,-56.091,24.292,21.667
-0.737,0.431,0.560,-44.189,15.686,20.752
-0.746,0.451,0.549,-33.569,0.610,20.142
-0.742,0.441,0.531,-24.658,-16.418,19.714
-0.734,0.435,0.508,-16.541,-28.381,20.386
-0.713,0.436,0.504,-8.179,-29.175,20.386
-0.682,0.425,0.536,-2.563,-21.667,19.409
-0.668,0.439,0.575,-1.648,-12.085,18.250
-0.631,0.470,0.601,-3.845,-2.258,16.174
-0.588,0.512,0.616,-8.423,6.958,14.160
-0.556,0.549,0.630,-15.015,14.648,12.817
-0.538,0.587,0.617,-22.034,20.142,12.451
-0.523,0.613,0.588,-27.405,23.071,13.367
-0.530,0.626,0.548,-29.663,21.423,15.991
-0.535,0.632,0.514,-28.687,17.944,18.433
-0.543,0.637,0.499,-25.879,14.709,20.508
-0.556,0.632,0.500,-21.729,12.756,23.010
-0.582,0.615,0.511,-17.090,12.207,25.269
-0.608,0.587,0.527,-13.672,13.306,26.184
-0.621,0.570,0.540,-11.353,14.954,25.146
-0.622,0.561,0.552,-8.545,17.395,23.437
-0.614,0.558,0.576,-5.066,18.555,21.790
-0.589,0.562,0.604,-2.197,16.479,21.423
-0.560,0.574,0.637,0.854,13.550,22.949
-0.542,0.584,0.669,2.136,12.756,25.269
-0.531,0.598,0.687,0.610,14.099,27.771
