aX,aY,aZ,gX,gY,gZ
1.025,-1.108,-0.310,99.548,-11.841,29.785
1.199,-0.783,-0.255,92.773,-3.784,-15.259
1.080,-0.573,-0.215,94.666,-16.785,-19.226
0.930,-0.484,-0.182,87.341,-24.292,7.446
0.843,-0.425,-0.122,77.393,-29.419,37.170
0.839,-0.344,-0.041,79.102,-40.222,64.331
0.841,-0.303,-0.001,94.666,-53.528,90.698
0.902,-0.367,-0.005,115.784,-62.805,112.976
0.857,-0.371,-0.070,133.484,-67.017,129.761
0.853,-0.417,-0.116,141.418,-65.918,138.855
0.848,-0.449,-0.137,139.465,-57.861,138.977
0.866,-0.450,-0.149,130.615,-50.293,135.254
0.894,-0.474,-0.141,119.934,-41.626,129.456
0.884,-0.486,-0.144,111.450,-34.485,121.033
0.925,-0.462,-0.149,100.159,-30.884,113.159
0.990,-0.418,-0.158,87.219,-28.992,109.436
0.971,-0.416,-0.172,80.200,-29.785,107.361
0.920,-0.453,-0.225,82.886,-35.645,100.403
0.861,-0.469,-0.291,88.806,-39.673,90.576
0.782,-0.452,-0.362,94.666,-39.917,80.811
0.709,-0.412,-0.446,97.717,-36.560,70.435
0.679,-0.387,-0.510,98.633,-28.381,64.026
0.679,-0.382,-0.541,99.609,-15.503,63.660
0.693,-0.396,-0.526,99.304,-3.418,67.078
0.716,-0.422,-0.522,94.421,3.052,68.604
0.718,-0.454,-0.550,83.435,1.892,64.758
0.733,-0.438,-0.591,65.979,-2.869,56.091
0.730,-0.394,-0.675,46.326,-7.996,45.715
0.700,-0.342,-0.743,33.569,-10.681,35.767
0.694,-0.279,-0.792,28.992,-9.094,29.358
0.691,-0.232,-0.837,25.452,-4.883,30.701
0.673,-0.203,-0.864,24.902,1.526,37.964
0.665,-0.220,-0.849,29.602,9.888,46.570
0.672,-0.285,-0.800,38.086,19.531,54.382
0.691,-0.375,-0.748,47.119,27.405,59.143
0.695,-0.456,-0.705,53.101,30.396,57.800
0.694,-0.492,-0.678,52.673,29.114,49.988
0.693,-0.484,-0.669,45.044,25.391,37.903
0.692,-0.431,-0.677,32.471,20.020,24.109
0.685,-0.367,-0.689,18.860,13.611,10.681
0.661,-0.300,-0.698,7.141,7.385,0.061
0.626,-0.250,-0.706,-2.319,2.258,-7.935
0.600,-0.189,-0.721,-11.169,-1.587,-13.733
0.578,-0.149,-0.740,-20.081,-3.601,-16.113
0.558,-0.114,-0.750,-25.940,-3.540,-16.602
0.553,-0.098,-0.742,-26.855,-1.099,-16.479
0.563,-0.102,-0.726,-23.926,2.258,-15.991
0.582,-0.124,-0.709,-18.555,5.432,-15.747
0.612,-0.148,-0.688,-13.123,7.812,-16.663
0.660,-0.175,-0.667,-8.911,8.789,-17.578
0.717,-0.208,-0.655,-6.836,7.507,-17.700
0.750,-0.249,-0.661,-6.470,5.066,-17.517
0.752,-0.294,-0.667,-7.751,2.625,-17.151
0.764,-0.356,-0.667,-11.108,2.502,-18.494
0.787,-0.406,-0.658,-15.564,5.310,-21.729
0.834,-0.454,-0.648,-19.897,11.230,-26.062
0.892,-0.500,-0.635,-23.193,19.653,-33.203
0.941,-0.544,-0.599,-22.827,29.663,-43.884
0.991,-0.591,-0.535,-21.179,40.649,-58.350
1.023,-0.638,-0.464,-20.020,50.720,-79.590
1.045,-0.640,-0.399,-24.353,57.922,-107.178
1.086,-0.593,-0.372,-37.598,59.631,-134.521
1.151,-0.531,-0.375,-59.387,54.504,-154.663
1.228,-0.487,-0.406,-85.266,43.823,-166.565
1.263,-0.454,-0.457,-108.704,29.419,-174.927
1.271,-0.424,-0.499,-124.695,15.381,-182.312
1.298,-0.398,-0.531,-134.521,6.897,-189.270
1.311,-0.404,-0.546,-141.602,6.409,-193.787
1.273,-0.425,-0.538,-146.912,11.108,-197.937
1.165,-0.436,-0.513,-150.940,18.005,-205.139
1.057,-0.410,-0.509,-153.198,19.592,-216.553
1.022,-0.416,-0.487,-156.067,12.756,-225.403
0.942,-0.455,-0.490,-161.804,2.441,-225.525
0.789,-0.475,-0.501,-166.809,-9.521,-219.116
0.714,-0.513,-0.488,-168.762,-20.996,-212.524
0.685,-0.574,-0.470,-169.617,-27.344,-206.726
0.625,-0.594,-0.473,-169.800,-28.931,-203.064
0.575,-0.594,-0.460,-169.434,-27.466,-203.796
0.516,-0.585,-0.440,-168.823,-21.606,-206.055
0.428,-0.561,-0.395,-167.786,-14.587,-207.092
0.361,-0.594,-0.358,-169.312,-11.658,-205.750
0.310,-0.716,-0.336,-173.645,-14.832,-201.111
0.190,-0.811,-0.337,-179.260,-24.292,-197.632
0.028,-0.842,-0.371,-187.927,-38.391,-199.524
-0.080,-0.828,-0.422,-200.317,-51.270,-205.872
-0.171,-0.738,-0.469,-210.266,-56.702,-209.839
-0.237,-0.645,-0.495,-209.656,-54.688,-207.153
-0.266,-0.607,-0.474,-194.580,-47.241,-198.547
-0.276,-0.616,-0.459,-168.335,-34.729,-184.753
-0.316,-0.587,-0.453,-136.169,-19.836,-169.434
